District,DMA,Channel,Week,Percent Of State,Dem GRPs,Rep GRPs,Net GRPs,Cost Per Impression,CPPs,Value Per Dollar,Change In State Voteshare,Change In DMA Voteshare,Forecasted Cand Dem GRPs,Forecasted Cand Rep GRPs,Cost,Cumulative,Speculative,Speculative -  Value Per Dollar
ME_class_2,Presque Isle ME,TV,2020-10-20,4.6%,3533,3777,-243,.164,100,.991,.01%,.17%,0,0,"$50,000.0","$92,500.0",0,1.000
GA_class_2,Albany GA,TV,2020-10-20,3.6%,1777,3216,-1439,.025,85,1.000,.01%,.33%,0,0,"$42,500.0","$42,500.0",0,.951
GA_class_2,Augusta GA,TV,2020-10-20,4.5%,1401,3488,-2087,.024,100,.982,.01%,.33%,347.48288,0,"$50,000.0","$142,500.0",0,.935
GA_class_2,Augusta GA,TV,2020-10-27,4.5%,1355,5311,-3956,.024,100,.862,.01%,.26%,259.94977,0,"$50,000.0","$192,500.0",0,.820
ME_class_2,Presque Isle ME,TV,2020-10-27,4.6%,3746,4071,-325,.164,100,.809,.01%,.14%,0,0,"$50,000.0","$242,500.0",0,.816
GA_class_2,Albany GA,TV,2020-10-27,3.6%,2106,3539,-1433,.025,85,.784,.01%,.27%,0,0,"$42,500.0","$285,000.0",0,.746
MT_class_2,Glendive MT,TV,2020-10-20,1.0%,258,271,-13,.368,30,.679,.00%,.27%,1769.7194,955,"$15,000.0","$300,000.0",0,.660
KY_class_2,Evansville IN,TV,2020-10-20,6.7%,483,1361,-879,.057,150,.678,.03%,.48%,386.11404,0,"$75,000.0","$375,000.0",0,.623
KY_class_2,Evansville IN,TV,2020-10-27,6.7%,670,1354,-684,.057,150,.678,.04%,.53%,681.2465,0,"$75,000.0","$450,000.0",0,.622
MI_class_2,Marquette MI,TV,2020-10-20,2.2%,700,0,700,.038,75,.421,.01%,.33%,1871.8988,3490,"$37,500.0","$662,500.0",0,.469
KY_class_2,Paducah KY-Cape Girardeau MO-Harrisburg IL,TV,2020-10-27,5.6%,1351,1093,258,.078,175,.489,.03%,.50%,0,592,"$87,500.0","$537,500.0",0,.449
MI_class_2,Marquette MI,TV,2020-10-27,2.2%,456,0,456,.038,75,.400,.01%,.30%,1078.7585,1824,"$37,500.0","$925,000.0",0,.445
MI_class_2,Flint-Saginaw-Bay City MI,TV,2020-10-27,11.4%,1503,1259,244,.021,230,.383,.02%,.17%,1016.0128,404,"$115,000.0","$1,265,000.0",0,.426
KY_class_2,Paducah KY-Cape Girardeau MO-Harrisburg IL,TV,2020-10-20,5.6%,1244,1101,143,.078,175,.455,.03%,.51%,0,0,"$87,500.0","$625,000.0",0,.417
MI_class_2,Flint-Saginaw-Bay City MI,TV,2020-10-20,11.4%,2102,1281,821,.021,230,.370,.02%,.18%,2622.293,1602,"$115,000.0","$1,395,000.0",0,.412
KS_class_2,Kansas City MO,TV,2020-10-20,38.5%,2479,1893,586,.052,450,.408,.08%,.20%,0,0,"$225,000.0","$887,500.0",0,.382
MT_class_2,Glendive MT,TV,2020-10-27,1.0%,262,279,-17,.368,30,.374,.00%,.13%,0,0,"$15,000.0","$1,280,000.0",0,.364
KS_class_2,Kansas City MO,TV,2020-10-27,38.5%,2511,888,1622,.052,450,.385,.08%,.21%,0,0,"$225,000.0","$1,150,000.0",0,.361
MI_class_2,Detroit MI,TV,2020-10-27,49.0%,1656,1563,94,.027,1200,.305,.08%,.17%,879.90173,0,"$600,000.0","$2,345,000.0",0,.340
GA_class_2,Savannah GA,TV,2020-10-20,6.4%,2775,7305,-4530,.058,350,.349,.02%,.32%,0,0,"$175,000.0","$1,570,000.0",0,.332
MI_class_2,Detroit MI,TV,2020-10-20,49.0%,1845,1929,-84,.027,1200,.297,.09%,.18%,2708.139,889,"$600,000.0","$3,280,000.0",0,.331
GA_class_2,Savannah GA,TV,2020-10-27,6.4%,1691,11805,-10114,.058,350,.305,.02%,.26%,208.0353,0,"$175,000.0","$2,520,000.0",0,.290
GA_class_2,Tallahassee FL-Thomasville GA,TV,2020-10-20,2.3%,480,0,480,.080,175,.320,.01%,.36%,0,0,"$87,500.0","$1,657,500.0",1,.277
GA_class_2,Chattanooga TN,TV,2020-10-20,2.4%,1090,503,587,.092,213,.289,.01%,.36%,0,0,"$106,404.6","$3,546,404.8",0,.275
KY_class_2,Charleston-Huntington WV,TV,2020-10-27,6.2%,438,1034,-595,.121,320,.298,.03%,.56%,889.4333,109,"$160,000.0","$2,680,000.0",0,.274
KY_class_2,Charleston-Huntington WV,TV,2020-10-20,6.2%,434,1054,-620,.121,320,.292,.03%,.51%,445.40445,0,"$160,000.0","$3,440,000.0",0,.268
GA_class_2,Chattanooga TN,TV,2020-10-27,2.4%,1098,503,596,.092,213,.279,.01%,.35%,0,0,"$106,404.6","$3,652,809.5",0,.266
GA_class_2,Tallahassee FL-Thomasville GA,TV,2020-10-27,2.3%,483,0,483,.080,175,.305,.01%,.31%,0,0,"$87,500.0","$1,745,000.0",1,.259
KS_class_2,Joplin MO-Pittsburg KS,TV,2020-10-20,4.7%,885,159,725,.138,160,.248,.02%,.37%,0,0,"$80,000.0","$3,732,809.5",0,.232
IA_class_2,Des Moines-Ames IA,TV,2020-10-20,37.6%,11478,7901,3577,.060,580,.217,.01%,.02%,12578.043,11397,"$290,000.0","$4,182,809.5",0,.219
KS_class_2,Joplin MO-Pittsburg KS,TV,2020-10-27,4.7%,1437,0,1437,.138,160,.248,.02%,.41%,0,0,"$80,000.0","$3,812,809.5",1,.218
GA_class_2,Columbus GA,TV,2020-10-20,2.8%,2975,5078,-2103,.063,160,.226,.01%,.22%,0,0,"$80,000.0","$3,892,809.5",0,.215
CO_class_2,Colorado Springs-Pueblo CO,TV,2020-10-20,17.0%,1580,1428,152,.024,205,.186,.05%,.26%,2389.1365,3336,"$102,500.0","$4,704,309.5",0,.192
GA_class_2,Columbus GA,TV,2020-10-27,2.8%,2504,8529,-6025,.063,160,.199,.01%,.19%,0,0,"$80,000.0","$4,262,809.5",0,.189
IA_class_2,Des Moines-Ames IA,TV,2020-10-27,37.6%,10396,7346,3050,.060,580,.182,.01%,.02%,12575.055,0,"$290,000.0","$4,994,309.5",0,.183
KY_class_2,Cincinnati OH,TV,2020-10-27,10.8%,2879,2534,345,.076,339,.194,.03%,.24%,0,0,"$169,500.0","$4,432,309.5",0,.179
KY_class_2,Cincinnati OH,TV,2020-10-20,10.8%,2500,2632,-132,.076,339,.191,.02%,.22%,0,0,"$169,500.0","$4,601,809.5",0,.175
SC_class_2,Columbia SC,TV,2020-10-20,22.0%,7861,4807,3054,.036,350,.174,.00%,.02%,8318.281,13090,"$175,000.0","$5,169,309.5",0,.169
SC_class_2,Columbia SC,TV,2020-10-27,22.0%,7382,3043,4338,.036,350,.173,.00%,.02%,8659.006,13313,"$175,000.0","$5,344,309.5",0,.168
IA_class_2,Ottumwa IA-Kirksville MO,TV,2020-10-20,2.0%,4162,1333,2830,.082,45,.165,.00%,.02%,0,0,"$22,500.0","$5,366,809.5",0,.166
MI_class_2,Alpena MI,TV,2020-10-20,.4%,382,0,382,.111,45,.161,.00%,.36%,0,0,"$22,500.0","$5,389,309.5",1,.163
IA_class_2,Ottumwa IA-Kirksville MO,TV,2020-10-27,2.0%,4174,1383,2791,.082,45,.160,.00%,.02%,0,0,"$22,500.0","$5,411,809.5",0,.162
IA_class_2,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,TV,2020-10-20,29.4%,16543,8577,7966,.086,659,.149,.01%,.02%,6891.311,0,"$329,500.0","$5,853,809.5",0,.150
MI_class_2,Alpena MI,TV,2020-10-27,.4%,370,0,370,.111,45,.148,.00%,.29%,0,0,"$22,500.0","$5,876,309.5",1,.148
GA_class_2,Macon GA,TV,2020-10-20,6.3%,2622,2901,-279,.041,225,.155,.01%,.09%,2884.9407,1230,"$112,500.0","$5,524,309.5",0,.147
GA_class_3,Atlanta GA,TV,2020-10-20,68.7%,1007,793,214,.018,1100,.141,.32%,.46%,0,0,"$550,000.0","$6,426,309.5",0,.141
